v ;Initials;Lastname;Username;Email;StreetAddress;City;ZipCode;State;Country;Department;Password;Telephone;JobTitle;Company;OU
Max;MF;Fraser;Max.Fraser;Max.Fraser@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456780;Engineer;EXOIP;OU=IT Admininstratie,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
Piers;PB;Bower;Piers.Bower;Piers.Bower@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456781;Manager;EXOIP;OU=IT Admininstratie,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
Kylie;KD;Davidson;Kylie.Davidson;Kylie.Davidson@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456782;Engineer;EXOIP;OU=Verkoop,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
Richard;RG;Grant;Richard.Grant;Richard.Grant@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456783;Teamleader;EXOIP;OU=Verkoop,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
Boris;BC;Campbell;Boris.Campbell;Boris.Campbell@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456784;Engineer;EXOIP;OU=Admininstratie,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
Nicholas;NM;Murray;Nicholas.Murray;Nicholas.Murray@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456785;Manager;EXOIP;OU=Admininstratie,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
Leonard;LC;Clark;Leonard.Clark;Leonard.Clark@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456786;Engineer;EXOIP;OU=Ontwikkeling,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
Ruth;RD;Dickens;Ruth.Dickens;Ruth.Dickens@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456787;Engineer;EXOIP;OU=Ontwikkeling,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
Jonathan;JF;Fisher;Jonathan.Fisher;Johnathan.Fisher@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456788;Engineer;EXOIP;OU=Directie,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
Grace;GR;Rees;Grace.Rees;Grace.Rees@exoip.com;21 Baker St;London;NW1 6XE;;GB;IT;Admin2122;44123456789;Engineer;EXOIP;OU=Directie,OU=Users,OU=SEPGR08,DC=thematrix,DC=local
